Location,URL,Location,URL
Bamber,"<a href=""https://t.co/pz5kC9NGiX"">https://t.co/pz5kC9NGiX</a>",Oldham,"<a href=""https://t.co/aUZQlfBrZx"">https://t.co/aUZQlfBrZx</a>"
Birkenhead,"<a href=""https://t.co/1a2vTKL2ts"">https://t.co/1a2vTKL2ts</a>",Preston,"<a href=""https://t.co/Utp8Dc32hs"">https://t.co/Utp8Dc32hs</a>"
Birkenhead,"<a href=""https://t.co/sLyT5qlcJ9"">https://t.co/sLyT5qlcJ9</a>",Preston,"<a href=""https://t.co/nXJYFJbapZ"">https://t.co/nXJYFJbapZ</a>"
Blackburn,"<a href=""https://t.co/M3ad1Cx0V1"">https://t.co/M3ad1Cx0V1</a>",Preston,"<a href=""https://t.co/nXJYFJbapZ"">https://t.co/nXJYFJbapZ</a>"
Blackburn,"<a href=""https://t.co/JW8Sd8wD5d"">https://t.co/JW8Sd8wD5d</a>",Ramsbottom,"<a href=""https://t.co/uca6jJkJUK"">https://t.co/uca6jJkJUK</a>"
Blackburn,"<a href=""https://t.co/ouV8l0hljs"">https://t.co/ouV8l0hljs</a>",Rochdale,"<a href=""https://t.co/DLvEwHHC5T"">https://t.co/DLvEwHHC5T</a>"
Blackpool,"<a href=""https://t.co/cd4qvixtmm"">https://t.co/cd4qvixtmm</a>",Rochdale,"<a href=""https://t.co/HkTstkrN8M"">https://t.co/HkTstkrN8M</a>"
Bolton,"<a href=""https://t.co/84uSro22Mv"">https://t.co/84uSro22Mv</a>",Romiley,"<a href=""https://t.co/W80W7hXvRB"">https://t.co/W80W7hXvRB</a>"
Bolton,"<a href=""https://t.co/MiJ1PnQD1f"">https://t.co/MiJ1PnQD1f</a>",Rossendale,"<a href=""https://t.co/BouH92dlwq"">https://t.co/BouH92dlwq</a>"
Bolton,"<a href=""https://t.co/MiJ1PnQD1f"">https://t.co/MiJ1PnQD1f</a>",Rossendale,"<a href=""https://t.co/BouH92dlwq"">https://t.co/BouH92dlwq</a>"
Bolton,"<a href=""https://t.co/nfh8Kzsczz"">https://t.co/nfh8Kzsczz</a>",Rossendale,"<a href=""https://t.co/c4sajHAd60"">https://t.co/c4sajHAd60</a>"
