Location,URL
Bamber,"<a href=""https://t.co/pz5kC9NGiX"">https://t.co/pz5kC9NGiX</a>"
Birkenhead,"<a href=""https://t.co/1a2vTKL2ts"">https://t.co/1a2vTKL2ts</a>"
Birkenhead,"<a href=""https://t.co/sLyT5qlcJ9"">https://t.co/sLyT5qlcJ9</a>"
Blackburn,"<a href=""https://t.co/M3ad1Cx0V1"">https://t.co/M3ad1Cx0V1</a>"
Blackburn,"<a href=""https://t.co/JW8Sd8wD5d"">https://t.co/JW8Sd8wD5d</a>"
Blackburn,"<a href=""https://t.co/ouV8l0hljs"">https://t.co/ouV8l0hljs</a>"
Blackpool,"<a href=""https://t.co/cd4qvixtmm"">https://t.co/cd4qvixtmm</a>"
Bolton,"<a href=""https://t.co/84uSro22Mv"">https://t.co/84uSro22Mv</a>"
Bolton,"<a href=""https://t.co/MiJ1PnQD1f"">https://t.co/MiJ1PnQD1f</a>"
Bolton,"<a href=""https://t.co/MiJ1PnQD1f"">https://t.co/MiJ1PnQD1f</a>"
Bolton,"<a href=""https://t.co/nfh8Kzsczz"">https://t.co/nfh8Kzsczz</a>"
Bury,"<a href=""https://t.co/qDDFSvyOTo"">https://t.co/qDDFSvyOTo</a>"
Chorley,"<a href=""https://t.co/lmAe3BByk6"">https://t.co/lmAe3BByk6</a>"
Colne ,"<a href=""https://t.co/qkBZScDSvD"">https://t.co/qkBZScDSvD</a>"
Coppull,"<a href=""https://t.co/17iEGHhLqr"">https://t.co/17iEGHhLqr</a>"
Didbury,"<a href=""https://t.co/i2ikEFtmvD"">https://t.co/i2ikEFtmvD</a>"
Didsbury,"<a href=""https://t.co/MtKsiyVGvv"">https://t.co/MtKsiyVGvv</a>"
Hyde,"<a href=""https://t.co/V0tIWzBtvr"">https://t.co/V0tIWzBtvr</a>"
Lancaster,"<a href=""https://t.co/E2az4e0rfk"">https://t.co/E2az4e0rfk</a>"
Lancaster,"<a href=""https://t.co/Pcud7vlgxo"">https://t.co/Pcud7vlgxo</a>"
Liverpool,"<a href=""https://t.co/0QbuX9XWWM"">https://t.co/0QbuX9XWWM</a>"
Liverpool,"<a href=""https://t.co/jW4voO7tmG"">https://t.co/jW4voO7tmG</a>"
Liverpool,"<a href=""https://t.co/R6QWe9yvBh"">https://t.co/R6QWe9yvBh</a>"
Liverpool,"<a href=""https://t.co/hmyFBZwyyX"">https://t.co/hmyFBZwyyX</a>"
Manchester,"<a href=""https://t.co/xxHogRAfah"">https://t.co/xxHogRAfah</a>"
Manchester,"<a href=""https://t.co/EP89u6qmFX"">https://t.co/EP89u6qmFX</a>"
Manchester,"<a href=""https://t.co/8vtWUMfwNw"">https://t.co/8vtWUMfwNw</a>"
