Shropshire,URL
Broseley,"<a href=""https://t.co/u8b9LSIqL0"">https://t.co/u8b9LSIqL0</a>"
Shrewsbury,"<a href=""https://t.co/nZBvyELqGJ"">https://t.co/nZBvyELqGJ</a>"
Shropshire,"<a href=""https://t.co/Ki73PnPtaS"">https://t.co/Ki73PnPtaS</a>"
Shropshire,"<a href=""https://t.co/mwwxugKeff"">https://t.co/mwwxugKeff</a>"
Shropshire,"<a href=""https://t.co/etXDTVy4Sh"">https://t.co/etXDTVy4Sh</a>"
Shropshire,"<a href=""https://t.co/wrkH8clVKR"">https://t.co/wrkH8clVKR</a>"
Telford,"<a href=""https://t.co/Dw9IRi8gpX"">https://t.co/Dw9IRi8gpX</a>"
Telford,"<a href=""https://t.co/nZBvyELqGJ"">https://t.co/nZBvyELqGJ</a>"
Telford,"<a href=""https://t.co/hRkEGTzfQ6"">https://t.co/hRkEGTzfQ6</a>"
